year,title,authors,venue,citation_count,open_access,doi,openalex_id,search_term,category
2020,Operation of an AA-CAES Based Energy Hub Considering Cascade Utilization of Heat,Danman Wu; Wei Wei; Shengwei Mei,2021 11th International Conference on Power and Energy Systems (ICPES),0,False,https://doi.org/10.1109/icpes51309.2020.9349741,https://openalex.org/W3133575879,energy hub,core
2020,Privacy-preserving mechanism for collaborative operation of high-renewable power systems and industrial energy hubs,Morteza Zare Oskouei; Behnam Mohammadi‐Ivatloo; Mehdi Abapour; Mahmood Shafiee; Amjad Anvari‐Moghaddam,Applied Energy,54,True,https://doi.org/10.1016/j.apenergy.2020.116338,https://openalex.org/W3118233181,energy hub,core
2020,Dynamic modeling and coordinated multi-energy management for a sustainable biogas-dominated energy hub,Kuan Zhang; Bin Zhou; Canbing Li; Nikolai Voropai; Jiayong Li,Energy,40,False,https://doi.org/10.1016/j.energy.2020.119640,https://openalex.org/W3114544175,energy hub,core
2020,MINIMUM HUB HARARY ENERGY OF A GRAPH,B. S. Sreeja; U. Mary,Advances in Mathematics Scientific Journal,1,False,https://doi.org/10.37418/amsj.9.12.58,https://openalex.org/W3112831501,energy hub,core
2020,Knowledge Hub - Home Energy Assessment and Energy Performance gap tools,Igor Panchevski; Zhanina Stamenkova,,0,False,https://doi.org/10.5281/zenodo.4319215,https://openalex.org/W3216356482,energy hub,core
2020,Stochastic optimal operation of a microgrid based on energy hub including a solar-powered compressed air energy storage system and an ice storage conditioner,Mehdi Jalili; Mostafa Sedighizadeh; Alireza Sheikhi Fini,Journal of Energy Storage,65,False,https://doi.org/10.1016/j.est.2020.102089,https://openalex.org/W3112670038,energy hub,core
2020,"Exploiting the synergies from coupled electricity and heat distribution networks : modelling, simulation and optimization based on an extended energy hub approach",Getnet Tadesse Ayele,,0,True,,https://openalex.org/W3126203155,energy hub,core
2020,Multi-objective Coordinated Operation for Multi-Energy Hub Considering Heat Network Model,Shuai He; Nian Liu; Ruizhi Li,2020 IEEE 3rd Student Conference on Electrical Machines and Systems (SCEMS),2,False,https://doi.org/10.1109/scems48876.2020.9352262,https://openalex.org/W3129715811,energy hub,core
2020,Interval–stochastic optimisation for transactive energy management in energy hubs,Manijeh Alipour; Mehdi Abapour; Sajjad Tohidi,IET Renewable Power Generation,7,True,https://doi.org/10.1049/iet-rpg.2020.0524,https://openalex.org/W3129660244,energy hub,core
2020,Anti-skid control of four-wheel hub-driven electric vehicle based on energy method,Jinjian Du; Dejun Yin; Junjie Wang; Lujun Chen,"2019 4th International Conference on Mechanical, Control and Computer Engineering (ICMCCE)",1,False,https://doi.org/10.1109/icmcce51767.2020.00203,https://openalex.org/W3160153614,energy hub,core
2020,Stochastic framework for day-ahead scheduling of coordinated electricity and natural gas networks considering multiple downward energy hubs,S.E. Hosseini; Amir Ahmarinejad,Journal of Energy Storage,35,False,https://doi.org/10.1016/j.est.2020.102066,https://openalex.org/W3107363212,energy hub,core
